Judge,Criterion,Approach,Mean_Satisfied_Across_Iteration
Claude Sonnet 4.6,Completeness,LLM-out-of-the-box,0.971 (0.0)
Claude Sonnet 4.6,Completeness,RAG-LLM,0.97 (0.043)
Claude Sonnet 4.6,Completeness,WF-LLM,0.919 (0.015)
Claude Sonnet 4.6,Completeness,WF-RAG-LLM,0.99 (0.014)
Claude Sonnet 4.6,Step_concordance,LLM-out-of-the-box,0.323 (0.014)
Claude Sonnet 4.6,Step_concordance,RAG-LLM,0.395 (0.0)
Claude Sonnet 4.6,Step_concordance,WF-LLM,0.607 (0.0)
Claude Sonnet 4.6,Step_concordance,WF-RAG-LLM,0.414 (0.014)
Claude Sonnet 4.6,Case_tailoring,LLM-out-of-the-box,0.576 (0.025)
Claude Sonnet 4.6,Case_tailoring,RAG-LLM,0.707 (0.037)
Claude Sonnet 4.6,Case_tailoring,WF-LLM,0.748 (0.028)
Claude Sonnet 4.6,Case_tailoring,WF-RAG-LLM,0.899 (0.014)
Claude Sonnet 4.6,Missing_data_concordance,LLM-out-of-the-box,0.021 (0.015)
Claude Sonnet 4.6,Missing_data_concordance,RAG-LLM,0.243 (0.0)
Claude Sonnet 4.6,Missing_data_concordance,WF-LLM,0.374 (0.038)
Claude Sonnet 4.6,Missing_data_concordance,WF-RAG-LLM,0.435 (0.028)
GPT-4o,Completeness,LLM-out-of-the-box,0.48 (0.065)
GPT-4o,Completeness,RAG-LLM,0.654 (0.083)
GPT-4o,Completeness,WF-LLM,0.947 (0.05)
GPT-4o,Completeness,WF-RAG-LLM,0.681 (0.032)
GPT-4o,Step_concordance,LLM-out-of-the-box,0.481 (0.033)
GPT-4o,Step_concordance,RAG-LLM,0.548 (0.068)
GPT-4o,Step_concordance,WF-LLM,0.907 (0.019)
GPT-4o,Step_concordance,WF-RAG-LLM,0.6 (0.086)
GPT-4o,Case_tailoring,LLM-out-of-the-box,0.04 (0.033)
GPT-4o,Case_tailoring,RAG-LLM,0.134 (0.105)
GPT-4o,Case_tailoring,WF-LLM,0.08 (0.033)
GPT-4o,Case_tailoring,WF-RAG-LLM,0.12 (0.098)
GPT-4o,Missing_data_concordance,LLM-out-of-the-box,0.08 (0.033)
GPT-4o,Missing_data_concordance,RAG-LLM,0.054 (0.019)
GPT-4o,Missing_data_concordance,WF-LLM,0.027 (0.019)
GPT-4o,Missing_data_concordance,WF-RAG-LLM,0.174 (0.019)
Llama 3.3 70B,Completeness,LLM-out-of-the-box,0.685 (0.026)
Llama 3.3 70B,Completeness,RAG-LLM,0.778 (0.022)
Llama 3.3 70B,Completeness,WF-LLM,1.0 (0.0)
Llama 3.3 70B,Completeness,WF-RAG-LLM,0.871 (0.013)
Llama 3.3 70B,Step_concordance,LLM-out-of-the-box,0.528 (0.0)
Llama 3.3 70B,Step_concordance,RAG-LLM,0.528 (0.0)
Llama 3.3 70B,Step_concordance,WF-LLM,0.778 (0.0)
Llama 3.3 70B,Step_concordance,WF-RAG-LLM,0.547 (0.013)
Llama 3.3 70B,Case_tailoring,LLM-out-of-the-box,0.537 (0.013)
Llama 3.3 70B,Case_tailoring,RAG-LLM,0.592 (0.013)
Llama 3.3 70B,Case_tailoring,WF-LLM,0.862 (0.022)
Llama 3.3 70B,Case_tailoring,WF-RAG-LLM,0.639 (0.022)
Llama 3.3 70B,Missing_data_concordance,LLM-out-of-the-box,0.0 (0.0)
Llama 3.3 70B,Missing_data_concordance,RAG-LLM,0.028 (0.0)
Llama 3.3 70B,Missing_data_concordance,WF-LLM,0.176 (0.026)
Llama 3.3 70B,Missing_data_concordance,WF-RAG-LLM,0.157 (0.013)
