Judge,Criterion,Approach,Mean_Satisfied_Across_Iteration
Claude Sonnet 4.6,Completeness,LLM-baseline,0.978 (0.0)
Claude Sonnet 4.6,Completeness,RAG-LLM,0.941 (0.038)
Claude Sonnet 4.6,Completeness,WF-LLM,0.948 (0.021)
Claude Sonnet 4.6,Completeness,WF-RAG-LLM,0.993 (0.01)
Claude Sonnet 4.6,Step_concordance,LLM-baseline,0.215 (0.01)
Claude Sonnet 4.6,Step_concordance,RAG-LLM,0.304 (0.021)
Claude Sonnet 4.6,Step_concordance,WF-LLM,0.511 (0.0)
Claude Sonnet 4.6,Step_concordance,WF-RAG-LLM,0.459 (0.011)
Claude Sonnet 4.6,Case_tailoring,LLM-baseline,0.356 (0.018)
Claude Sonnet 4.6,Case_tailoring,RAG-LLM,0.629 (0.021)
Claude Sonnet 4.6,Case_tailoring,WF-LLM,0.726 (0.021)
Claude Sonnet 4.6,Case_tailoring,WF-RAG-LLM,0.778 (0.018)
Claude Sonnet 4.6,Missing_data_concordance,LLM-baseline,0.037 (0.028)
Claude Sonnet 4.6,Missing_data_concordance,RAG-LLM,0.281 (0.038)
Claude Sonnet 4.6,Missing_data_concordance,WF-LLM,0.356 (0.018)
Claude Sonnet 4.6,Missing_data_concordance,WF-RAG-LLM,0.474 (0.021)
GPT-4o,Completeness,LLM-baseline,0.631 (0.027)
GPT-4o,Completeness,RAG-LLM,0.787 (0.092)
GPT-4o,Completeness,WF-LLM,0.943 (0.036)
GPT-4o,Completeness,WF-RAG-LLM,0.908 (0.066)
GPT-4o,Step_concordance,LLM-baseline,0.518 (0.01)
GPT-4o,Step_concordance,RAG-LLM,0.624 (0.086)
GPT-4o,Step_concordance,WF-LLM,0.922 (0.036)
GPT-4o,Step_concordance,WF-RAG-LLM,0.773 (0.05)
GPT-4o,Case_tailoring,LLM-baseline,0.028 (0.01)
GPT-4o,Case_tailoring,RAG-LLM,0.05 (0.027)
GPT-4o,Case_tailoring,WF-LLM,0.071 (0.01)
GPT-4o,Case_tailoring,WF-RAG-LLM,0.028 (0.04)
GPT-4o,Missing_data_concordance,LLM-baseline,0.05 (0.027)
GPT-4o,Missing_data_concordance,RAG-LLM,0.092 (0.027)
GPT-4o,Missing_data_concordance,WF-LLM,0.121 (0.044)
GPT-4o,Missing_data_concordance,WF-RAG-LLM,0.107 (0.03)
Llama 3.3 70B,Completeness,LLM-baseline,0.76 (0.014)
Llama 3.3 70B,Completeness,RAG-LLM,0.814 (0.018)
Llama 3.3 70B,Completeness,WF-LLM,1.0 (0.0)
Llama 3.3 70B,Completeness,WF-RAG-LLM,0.941 (0.0)
Llama 3.3 70B,Step_concordance,LLM-baseline,0.5 (0.012)
Llama 3.3 70B,Step_concordance,RAG-LLM,0.505 (0.007)
Llama 3.3 70B,Step_concordance,WF-LLM,0.637 (0.014)
Llama 3.3 70B,Step_concordance,WF-RAG-LLM,0.574 (0.012)
Llama 3.3 70B,Case_tailoring,LLM-baseline,0.569 (0.007)
Llama 3.3 70B,Case_tailoring,RAG-LLM,0.559 (0.012)
Llama 3.3 70B,Case_tailoring,WF-LLM,0.765 (0.021)
Llama 3.3 70B,Case_tailoring,WF-RAG-LLM,0.75 (0.012)
Llama 3.3 70B,Missing_data_concordance,LLM-baseline,0.049 (0.007)
Llama 3.3 70B,Missing_data_concordance,RAG-LLM,0.01 (0.014)
Llama 3.3 70B,Missing_data_concordance,WF-LLM,0.098 (0.007)
Llama 3.3 70B,Missing_data_concordance,WF-RAG-LLM,0.093 (0.018)
