Judge;Criterion;Approach;Mean_Score_Across_Iteration
Claude Sonnet 4.6;Completeness;LLM-baseline;4.373 (0.0)
Claude Sonnet 4.6;Completeness;RAG-LLM;4.664 (0.0)
Claude Sonnet 4.6;Completeness;WF-LLM;4.409 (0.0)
Claude Sonnet 4.6;Completeness;WF-RAG-LLM;4.682 (0.0)
Claude Sonnet 4.6;Step_concordance;LLM-baseline;3.627 (0.0)
Claude Sonnet 4.6;Step_concordance;RAG-LLM;3.745 (0.0)
Claude Sonnet 4.6;Step_concordance;WF-LLM;3.7 (0.0)
Claude Sonnet 4.6;Step_concordance;WF-RAG-LLM;3.918 (0.0)
Claude Sonnet 4.6;Case_tailoring;LLM-baseline;3.791 (0.0)
Claude Sonnet 4.6;Case_tailoring;RAG-LLM;4.045 (0.0)
Claude Sonnet 4.6;Case_tailoring;WF-LLM;3.964 (0.0)
Claude Sonnet 4.6;Case_tailoring;WF-RAG-LLM;4.264 (0.0)
Claude Sonnet 4.6;Missing_data_concordance;LLM-baseline;3.6 (0.0)
Claude Sonnet 4.6;Missing_data_concordance;RAG-LLM;3.955 (0.0)
Claude Sonnet 4.6;Missing_data_concordance;WF-LLM;3.7 (0.0)
Claude Sonnet 4.6;Missing_data_concordance;WF-RAG-LLM;3.882 (0.0)
Claude Sonnet 4.6;MDT_Decision_Concordance;LLM-baseline;3.509 (0.0)
Claude Sonnet 4.6;MDT_Decision_Concordance;RAG-LLM;3.655 (0.0)
Claude Sonnet 4.6;MDT_Decision_Concordance;WF-LLM;3.673 (0.0)
Claude Sonnet 4.6;MDT_Decision_Concordance;WF-RAG-LLM;3.909 (0.0)
GPT-4o;Completeness;LLM-baseline;4.882 (0.0)
GPT-4o;Completeness;RAG-LLM;4.873 (0.0)
GPT-4o;Completeness;WF-LLM;4.927 (0.0)
GPT-4o;Completeness;WF-RAG-LLM;4.918 (0.0)
GPT-4o;Step_concordance;LLM-baseline;4.055 (0.0)
GPT-4o;Step_concordance;RAG-LLM;4.082 (0.0)
GPT-4o;Step_concordance;WF-LLM;4.082 (0.0)
GPT-4o;Step_concordance;WF-RAG-LLM;4.245 (0.0)
GPT-4o;Case_tailoring;LLM-baseline;4.709 (0.0)
GPT-4o;Case_tailoring;RAG-LLM;4.664 (0.0)
GPT-4o;Case_tailoring;WF-LLM;4.709 (0.0)
GPT-4o;Case_tailoring;WF-RAG-LLM;4.791 (0.0)
GPT-4o;Missing_data_concordance;LLM-baseline;4.327 (0.0)
GPT-4o;Missing_data_concordance;RAG-LLM;4.573 (0.0)
GPT-4o;Missing_data_concordance;WF-LLM;4.327 (0.0)
GPT-4o;Missing_data_concordance;WF-RAG-LLM;4.536 (0.0)
GPT-4o;MDT_Decision_Concordance;LLM-baseline;4.391 (0.0)
GPT-4o;MDT_Decision_Concordance;RAG-LLM;4.473 (0.0)
GPT-4o;MDT_Decision_Concordance;WF-LLM;4.509 (0.0)
GPT-4o;MDT_Decision_Concordance;WF-RAG-LLM;4.627 (0.0)
Llama 3.3 70B;Completeness;LLM-baseline;4.836 (0.0)
Llama 3.3 70B;Completeness;RAG-LLM;4.864 (0.0)
Llama 3.3 70B;Completeness;WF-LLM;4.855 (0.0)
Llama 3.3 70B;Completeness;WF-RAG-LLM;4.836 (0.0)
Llama 3.3 70B;Step_concordance;LLM-baseline;4.636 (0.0)
Llama 3.3 70B;Step_concordance;RAG-LLM;4.609 (0.0)
Llama 3.3 70B;Step_concordance;WF-LLM;4.7 (0.0)
Llama 3.3 70B;Step_concordance;WF-RAG-LLM;4.645 (0.0)
Llama 3.3 70B;Case_tailoring;LLM-baseline;4.836 (0.0)
Llama 3.3 70B;Case_tailoring;RAG-LLM;4.864 (0.0)
Llama 3.3 70B;Case_tailoring;WF-LLM;4.864 (0.0)
Llama 3.3 70B;Case_tailoring;WF-RAG-LLM;4.818 (0.0)
Llama 3.3 70B;Missing_data_concordance;LLM-baseline;4.3 (0.0)
Llama 3.3 70B;Missing_data_concordance;RAG-LLM;4.573 (0.0)
Llama 3.3 70B;Missing_data_concordance;WF-LLM;4.436 (0.0)
Llama 3.3 70B;Missing_data_concordance;WF-RAG-LLM;4.518 (0.0)
Llama 3.3 70B;MDT_Decision_Concordance;LLM-baseline;4.645 (0.0)
Llama 3.3 70B;MDT_Decision_Concordance;RAG-LLM;4.564 (0.0)
Llama 3.3 70B;MDT_Decision_Concordance;WF-LLM;4.718 (0.0)
Llama 3.3 70B;MDT_Decision_Concordance;WF-RAG-LLM;4.645 (0.0)
