Judge;Criterion;Approach;Mean_Score_Across_Iteration
Claude Sonnet 4.6;Completeness;LLM-baseline;0.737 (0.0)
Claude Sonnet 4.6;Completeness;RAG-LLM;0.985 (0.0)
Claude Sonnet 4.6;Completeness;WF-LLM;0.767 (0.0)
Claude Sonnet 4.6;Completeness;WF-RAG-LLM;1.0 (0.0)
Claude Sonnet 4.6;Step_concordance;LLM-baseline;0.101 (0.0)
Claude Sonnet 4.6;Step_concordance;RAG-LLM;0.201 (0.0)
Claude Sonnet 4.6;Step_concordance;WF-LLM;0.163 (0.0)
Claude Sonnet 4.6;Step_concordance;WF-RAG-LLM;0.349 (0.0)
Claude Sonnet 4.6;Case_tailoring;LLM-baseline;0.24 (0.0)
Claude Sonnet 4.6;Case_tailoring;RAG-LLM;0.457 (0.0)
Claude Sonnet 4.6;Case_tailoring;WF-LLM;0.388 (0.0)
Claude Sonnet 4.6;Case_tailoring;WF-RAG-LLM;0.644 (0.0)
Claude Sonnet 4.6;Missing_data_concordance;LLM-baseline;0.078 (0.0)
Claude Sonnet 4.6;Missing_data_concordance;RAG-LLM;0.38 (0.0)
Claude Sonnet 4.6;Missing_data_concordance;WF-LLM;0.163 (0.0)
Claude Sonnet 4.6;Missing_data_concordance;WF-RAG-LLM;0.318 (0.0)
Claude Sonnet 4.6;MDT_Decision_Concordance;LLM-baseline;0.0 (0.0)
Claude Sonnet 4.6;MDT_Decision_Concordance;RAG-LLM;0.124 (0.0)
Claude Sonnet 4.6;MDT_Decision_Concordance;WF-LLM;0.14 (0.0)
Claude Sonnet 4.6;MDT_Decision_Concordance;WF-RAG-LLM;0.341 (0.0)
GPT-4o;Completeness;LLM-baseline;0.948 (0.0)
GPT-4o;Completeness;RAG-LLM;0.938 (0.0)
GPT-4o;Completeness;WF-LLM;1.0 (0.0)
GPT-4o;Completeness;WF-RAG-LLM;0.99 (0.0)
GPT-4o;Step_concordance;LLM-baseline;0.0 (0.0)
GPT-4o;Step_concordance;RAG-LLM;0.031 (0.0)
GPT-4o;Step_concordance;WF-LLM;0.031 (0.0)
GPT-4o;Step_concordance;WF-RAG-LLM;0.218 (0.0)
GPT-4o;Case_tailoring;LLM-baseline;0.75 (0.0)
GPT-4o;Case_tailoring;RAG-LLM;0.698 (0.0)
GPT-4o;Case_tailoring;WF-LLM;0.75 (0.0)
GPT-4o;Case_tailoring;WF-RAG-LLM;0.844 (0.0)
GPT-4o;Missing_data_concordance;LLM-baseline;0.312 (0.0)
GPT-4o;Missing_data_concordance;RAG-LLM;0.594 (0.0)
GPT-4o;Missing_data_concordance;WF-LLM;0.312 (0.0)
GPT-4o;Missing_data_concordance;WF-RAG-LLM;0.552 (0.0)
GPT-4o;MDT_Decision_Concordance;LLM-baseline;0.385 (0.0)
GPT-4o;MDT_Decision_Concordance;RAG-LLM;0.479 (0.0)
GPT-4o;MDT_Decision_Concordance;WF-LLM;0.521 (0.0)
GPT-4o;MDT_Decision_Concordance;WF-RAG-LLM;0.656 (0.0)
Llama 3.3 70B;Completeness;LLM-baseline;0.95 (0.0)
Llama 3.3 70B;Completeness;RAG-LLM;1.0 (0.0)
Llama 3.3 70B;Completeness;WF-LLM;0.984 (0.0)
Llama 3.3 70B;Completeness;WF-RAG-LLM;0.95 (0.0)
Llama 3.3 70B;Step_concordance;LLM-baseline;0.596 (0.0)
Llama 3.3 70B;Step_concordance;RAG-LLM;0.548 (0.0)
Llama 3.3 70B;Step_concordance;WF-LLM;0.709 (0.0)
Llama 3.3 70B;Step_concordance;WF-RAG-LLM;0.612 (0.0)
Llama 3.3 70B;Case_tailoring;LLM-baseline;0.95 (0.0)
Llama 3.3 70B;Case_tailoring;RAG-LLM;1.0 (0.0)
Llama 3.3 70B;Case_tailoring;WF-LLM;1.0 (0.0)
Llama 3.3 70B;Case_tailoring;WF-RAG-LLM;0.918 (0.0)
Llama 3.3 70B;Missing_data_concordance;LLM-baseline;0.0 (0.0)
Llama 3.3 70B;Missing_data_concordance;RAG-LLM;0.484 (0.0)
Llama 3.3 70B;Missing_data_concordance;WF-LLM;0.241 (0.0)
Llama 3.3 70B;Missing_data_concordance;WF-RAG-LLM;0.387 (0.0)
Llama 3.3 70B;MDT_Decision_Concordance;LLM-baseline;0.612 (0.0)
Llama 3.3 70B;MDT_Decision_Concordance;RAG-LLM;0.468 (0.0)
Llama 3.3 70B;MDT_Decision_Concordance;WF-LLM;0.741 (0.0)
Llama 3.3 70B;MDT_Decision_Concordance;WF-RAG-LLM;0.612 (0.0)
